h0,h,liquid
0.47300000000000003,0.1878591434399869,gw60
0.481,0.1957065817866201,gw60
0.48899999999999993,0.2045102481529396,gw60
0.49700000000000005,0.2134182047705407,gw60
0.505,0.2221273145460638,gw60
0.513,0.2316196917668413,gw60
0.522,0.2418270529291443,gw60
0.53,0.2514816959219686,gw60
0.539,0.2624126526219165,gw60
0.5479999999999999,0.273475196102482,gw60
0.5569999999999999,0.2848362950742391,gw60
0.566,0.2963112823858077,gw60
0.575,0.3081079857273826,gw60
0.585,0.3211090692255484,gw60
0.594,0.3330530836375462,gw60
0.6040000000000001,0.3468075206331743,gw60
0.614,0.3595859991107925,gw60
0.624,0.3733712322537493,gw60
0.634,0.387225325179402,gw60
0.6449999999999999,0.4024717688463193,gw60
0.655,0.4162076704165477,gw60
0.666,0.431405873422704,gw60
0.6769999999999999,0.4469291150992404,gw60
0.6880000000000001,0.4624657503009898,gw60
0.699,0.4776771377961808,gw60
0.7110000000000001,0.4946588480223098,gw60
0.722,0.5098639286815184,gw60
0.734,0.5260634911969133,gw60
0.746,0.542200710850563,gw60
0.759,0.5595385321460399,gw60
0.771,0.5753567789588006,gw60
0.784,0.5922130938673587,gw60
0.796,0.6074951925138448,gw60
0.809,0.6238443204736676,gw60
0.823,0.6410954563630957,gw60
0.8360000000000001,0.6568054842318419,gw60
0.85,0.6734228853073703,gw60
0.864,0.6897330227593781,gw60
0.878,0.7057041349262693,gw60
0.892,0.721284226234639,gw60
0.907,0.7375422687915613,gw60
0.9219999999999999,0.7534059238461357,gw60
0.937,0.7687765158495823,gw60
0.9520000000000001,,gw60
0.968,,gw60
0.9840000000000001,,gw60
1.0,,gw60
0.2,,gw80
0.203,,gw80
0.207,,gw80
0.21000000000000002,,gw80
0.213,0.0410572041885629,gw80
0.217,0.0412814086994495,gw80
0.22,0.0456326137046942,gw80
0.224,0.0534853546145008,gw80
0.228,0.0544449847556483,gw80
0.232,0.0555977819055467,gw80
0.235,0.0569015534534869,gw80
0.23900000000000002,0.0590186161381423,gw80
0.243,0.0616479571197561,gw80
0.247,0.0648474457388767,gw80
0.251,0.0686562954494634,gw80
0.255,0.0696997957439073,gw80
0.259,0.0709181800781932,gw80
0.264,0.073124659079054,gw80
0.268,0.0753450487598255,gw80
0.272,0.0777857403890679,gw80
0.277,0.0812594327688206,gw80
0.281,0.0845489407965317,gw80
0.28600000000000003,0.0873716762443581,gw80
0.29100000000000004,0.0891565240773129,gw80
0.29500000000000004,0.0908342855595973,gw80
0.3,0.0934330800888883,gw80
0.305,0.0964445149280476,gw80
0.31,0.0998491089222183,gw80
0.315,0.1036329253880726,gw80
0.32,0.1061381414082098,gw80
0.326,0.1090338136148657,gw80
0.331,0.1117141121343151,gw80
0.33599999999999997,0.1147724482820917,gw80
0.342,0.1188100207963071,gw80
0.348,0.1232456557444857,gw80
0.35300000000000004,0.1263529305337755,gw80
0.359,0.1291862555634818,gw80
0.365,0.1324934102203329,gw80
0.371,0.1362571766285327,gw80
