,name,h0,h0ext,t,liquid,date,L
170,gw60-12,0.329,0.354029949976973,7.474,gw60,2024-11-12,21.75
171,gw60-13,0.254,0.249483496809797,100.0,gw60,2024-11-12,23.8206
172,gw60-14,0.237,0.261191669077723,100.0,gw60,2024-11-12,22.011
173,gw60-14,0.298,0.39641899853474,4.015,gw60,2024-11-12,21.2628
174,gw60-15,0.253,0.273202931142226,120.4,gw60,2024-11-12,20.097
175,gw60-15,0.312,0.382292198080856,2.935,gw60,2024-11-12,19.835999999999995
176,gw60-16,0.291,0.332946454974224,14.229,gw60,2024-11-12,19.7142
177,gw60-16,0.407,0.569508350514422,0.643,gw60,2024-11-12,18.618
178,gw60-17,0.276,0.319139809641383,36.95,gw60,2024-11-12,20.3406
179,gw60-17,0.431,0.541129294545905,0.686,gw60,2024-11-12,19.7664
180,gw60-18,0.254,0.270788908031013,62.737,gw60,2024-11-12,22.9506
181,gw60-18,0.3,0.380526824307785,4.195,gw60,2024-11-12,22.098
182,gw60-19,0.219,0.290062053976329,114.9,gw60,2024-11-12,20.271
183,gw60-19,0.271,0.385240451697618,3.293,gw60,2024-11-12,18.9834
184,gw60-1,0.661,0.52671433506556,0.0,gw60,2024-11-12,22.9854
185,gw60-20,0.26,0.29234785444756,104.2,gw60,2024-11-12,23.7162
186,gw60-20,0.419,0.502171892026943,2.598,gw60,2024-11-12,21.2106
187,gw60-2,0.489,0.325211322524886,109.6,gw60,2024-11-12,22.707
188,gw60-2,0.652,0.682026494283036,1.381,gw60,2024-11-12,22.811399999999995
189,gw60-3,0.496,0.384455446224138,10.644,gw60,2024-11-12,16.999799999999997
190,gw60-4,0.311,0.307288086825884,100.0,gw60,2024-11-12,20.0622
191,gw60-4,0.341,0.355483125872007,14.949,gw60,2024-11-12,20.0622
192,gw60-4,0.48,0.439324066900626,3.621,gw60,2024-11-12,21.4542
193,gw60-5,0.306,0.328295091014541,100.0,gw60,2024-11-12,27.4746
194,gw60-6,0.342,0.33804092811755,100.0,gw60,2024-11-12,23.7336
195,gw60-7,0.419,0.480375211732338,7.169,gw60,2024-11-12,22.62
196,gw60-9,0.274,0.302918405265238,109.7,gw60,2024-11-12,26.3262
197,gw60-9,0.438,0.422077163569551,21.692,gw60,2024-11-12,23.9946
198,gw80-10,0.403,0.376712117821623,27.822,gw80,2024-11-14,19.923
199,gw80-10,0.522,0.569821358113176,10.007,gw80,2024-11-14,22.2198
200,gw80-1,0.313,0.35425880667152,22.917,gw80,2024-11-14,20.4798
201,gw80-2,0.43,0.449639589235,6.1,gw80,2024-11-14,21.4542
202,gw80-2,0.459,0.352732795927175,13.584,gw80,2024-11-14,22.359
203,gw80-2,0.494,0.404556121949658,37.282,gw80,2024-11-14,21.2106
204,gw80-3,0.325,0.382636188933108,9.378,gw80,2024-11-14,19.4358
205,gw80-3,0.445,0.417529843967507,21.156,gw80,2024-11-14,20.9322
206,gw80-4,0.34,0.347078921791989,51.858,gw80,2024-11-14,19.5402
207,gw80-4,0.553,0.571105539102643,26.481,gw80,2024-11-14,24.3078
208,gw80-5,0.287,0.414860402090734,100.0,gw80,2024-11-14,18.2178
209,gw80-5,0.332,0.398036096349838,14.949,gw80,2024-11-14,19.2966
210,gw80-6,0.308,0.358427878865175,105.14,gw80,2024-11-14,20.4102
211,gw80-8,0.422,0.423671182664762,16.09,gw80,2024-11-14,18.9138
212,gw80-9,0.427,0.384925818729597,109.4,gw80,2024-11-14,17.869799999999998
